R,G,B,a1,a2,a3
72,90,125,1,0,0
67,90,119,1,0,0
73,90,119,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,84,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,89,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,119,1,0,0
73,90,119,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
67,90,125,1,0,0
73,90,119,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,119,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,119,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,84,125,1,0,0
73,90,125,1,0,0
73,90,124,1,0,0
73,90,125,1,0,0
73,90,119,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,119,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,119,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,84,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
67,90,119,1,0,0
73,90,119,1,0,0
73,90,119,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,84,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
67,90,119,1,0,0
73,90,125,1,0,0
73,90,119,1,0,0
73,90,119,1,0,0
73,90,119,1,0,0
73,90,121,1,0,0
73,90,119,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
67,90,125,1,0,0
73,90,119,1,0,0
73,90,119,1,0,0
73,90,121,1,0,0
73,90,125,1,0,0
73,90,119,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,84,125,1,0,0
73,83,125,1,0,0
73,89,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,124,1,0,0
73,90,119,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,119,1,0,0
73,90,125,1,0,0
67,90,124,1,0,0
68,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,84,125,1,0,0
73,89,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,84,125,1,0,0
73,90,125,1,0,0
73,83,125,1,0,0
73,83,125,1,0,0
73,84,125,1,0,0
73,89,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
67,90,118,1,0,0
73,90,124,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
67,90,125,1,0,0
67,89,120,1,0,0
67,90,120,1,0,0
73,90,124,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,89,119,1,0,0
67,90,119,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,84,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,119,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,84,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,119,1,0,0
71,90,119,1,0,0
73,90,125,1,0,0
73,89,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,85,125,1,0,0
73,89,124,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,89,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
73,90,125,1,0,0
67,90,119,1,0,0
115,128,180,1,1,0
121,122,180,1,1,0
122,129,180,1,1,0
122,128,174,1,1,0
116,128,180,1,1,0
118,126,177,1,1,0
119,127,177,1,1,0
120,126,176,1,1,0
120,127,177,1,1,0
120,126,177,1,1,0
120,127,177,1,1,0
120,127,177,1,1,0
120,126,177,1,1,0
120,126,172,1,1,0
120,126,177,1,1,0
120,127,177,1,1,0
121,126,177,1,1,0
121,127,177,1,1,0
121,127,178,1,1,0
120,127,177,1,1,0
121,126,171,1,1,0
121,127,177,1,1,0
121,127,178,1,1,0
121,127,178,1,1,0
121,127,178,1,1,0
121,121,178,1,1,0
121,127,178,1,1,0
121,127,178,1,1,0
121,127,178,1,1,0
121,127,178,1,1,0
115,127,178,1,1,0
121,127,178,1,1,0
121,127,178,1,1,0
121,127,178,1,1,0
122,127,172,1,1,0
116,127,178,1,1,0
121,127,178,1,1,0
121,127,178,1,1,0
121,121,178,1,1,0
122,127,178,1,1,0
122,127,178,1,1,0
122,127,179,1,1,0
122,127,178,1,1,0
122,121,178,1,1,0
122,127,179,1,1,0
122,128,178,1,1,0
122,127,178,1,1,0
122,127,178,1,1,0
122,127,179,1,1,0
122,127,178,1,1,0
123,121,179,1,1,0
123,128,179,1,1,0
122,128,178,1,1,0
122,127,179,1,1,0
123,121,178,1,1,0
123,127,178,1,1,0
123,127,173,1,1,0
123,127,178,1,1,0
123,127,179,1,1,0
123,127,173,1,1,0
117,128,179,1,1,0
123,128,179,1,1,0
123,128,173,1,1,0
122,128,179,1,1,0
123,128,179,1,1,0
123,127,179,1,1,0
117,127,173,1,1,0
123,128,179,1,1,0
123,121,179,1,1,0
123,128,173,1,1,0
123,128,179,1,1,0
123,128,173,1,1,0
123,127,173,1,1,0
117,128,173,1,1,0
117,127,179,1,1,0
123,128,179,1,1,0
124,128,179,1,1,0
123,128,179,1,1,0
124,128,173,1,1,0
123,128,179,1,1,0
124,128,180,1,1,0
117,128,179,1,1,0
